id,exam,year,subject,topic,difficulty,question,recency,difficulty_score
552,RRB NTPC,2024,English,Vocabulary,Medium,Choose the antonym of the given word.,2,2
553,RRB NTPC,2021,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 150 at 15% rate.,5,2
554,SSC CGL,2024,Reasoning,Series,Medium,Find the missing number in the series.,2,2
555,IBPS PO,2021,Reasoning,Coding Decoding,Hard,Find the next term using a coding pattern.,5,3
556,RRB NTPC,2025,Quantitative Aptitude,Data Interpretation,Medium,Find the average from the given data table.,1,2
557,SSC CHSL,2022,Reasoning,Puzzle,Easy,Solve the seating arrangement puzzle based on given conditions.,4,1
558,SSC CGL,2022,Quantitative Aptitude,Algebra,Easy,Simplify the given quadratic expression.,4,1
559,SSC CGL,2021,Quantitative Aptitude,Geometry,Hard,Find the area of a triangle with base 500 cm and height 36 cm.,5,3
560,RRB NTPC,2023,Reasoning,Syllogism,Medium,Determine whether the given statements follow logically.,3,2
561,SSC CHSL,2025,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,1,2
562,SSC CHSL,2025,English,Reading Comprehension,Easy,Identify the main idea of the given passage.,1,1
563,SSC CGL,2023,Reasoning,Puzzle,Easy,Arrange the given items based on the clues provided.,3,1
564,SSC CGL,2024,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,2,2
565,IBPS PO,2021,Quantitative Aptitude,Geometry,Hard,Find the perimeter of a rectangle with length 750 cm and breadth 36 cm.,5,3
566,RRB NTPC,2022,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,4,3
567,SSC CHSL,2024,Reasoning,Syllogism,Hard,"Based on the two statements, find the valid conclusion.",2,3
568,IBPS PO,2022,Reasoning,Series,Easy,Find the next term in the given number series.,4,1
569,RRB NTPC,2024,Quantitative Aptitude,Geometry,Easy,Find the perimeter of a rectangle with length 400 cm and breadth 30 cm.,2,1
570,SSC CGL,2022,English,Reading Comprehension,Easy,Read the passage and answer the question.,4,1
571,IBPS PO,2021,Reasoning,Coding Decoding,Easy,"If CAT is coded as DBU, how is DOG coded?",5,1
572,RRB NTPC,2022,English,Vocabulary,Medium,Choose the antonym of the given word.,4,2
573,SSC CGL,2022,Quantitative Aptitude,Algebra,Hard,Find the roots of the equation x^2 - 300x + 20 = 0.,4,3
574,SSC CHSL,2025,Reasoning,Analogy,Easy,Book is related to Reading. Pen is related to?,1,1
575,IBPS PO,2024,Quantitative Aptitude,Data Interpretation,Medium,Analyse the bar graph and find the percentage change.,2,2
576,SSC CGL,2021,Quantitative Aptitude,Profit and Loss,Hard,Find the selling price if cost price is 750 and profit is 20%.,5,3
577,RRB NTPC,2024,Reasoning,Series,Medium,Find the odd one out from the given series.,2,2
578,RRB NTPC,2025,Quantitative Aptitude,Algebra,Hard,Simplify the given quadratic expression.,1,3
579,IBPS PO,2021,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,5,1
580,IBPS PO,2024,English,Grammar,Medium,Fill in the blank with the correct form of the verb.,2,2
581,IBPS PO,2024,General Awareness,Indian Polity,Hard,Who is known as the chief architect of the Indian Constitution?,2,3
582,SSC CHSL,2025,Quantitative Aptitude,Geometry,Medium,Find the circumference of a circle with radius 200 cm.,1,2
583,SSC CGL,2021,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,5,2
584,RRB NTPC,2023,Quantitative Aptitude,Percentage,Medium,A number is increased by 25%. Find the new value.,3,2
585,IBPS PO,2023,General Awareness,Indian Polity,Hard,Who is known as the chief architect of the Indian Constitution?,3,3
586,SSC CHSL,2024,Quantitative Aptitude,Simple Interest,Easy,Find the simple interest on 750 at 50% per annum for 12 years.,2,1
587,RRB NTPC,2021,General Awareness,History,Easy,Who founded the Maurya Empire?,5,1
588,IBPS PO,2024,General Awareness,Geography,Medium,Which river is the longest in India?,2,2
589,RRB NTPC,2023,Reasoning,Syllogism,Hard,"Based on the two statements, find the valid conclusion.",3,3
590,SSC CGL,2021,General Awareness,History,Easy,Who founded the Maurya Empire?,5,1
591,SSC CGL,2025,General Awareness,Science,Easy,Which gas is essential for respiration?,1,1
592,SSC CHSL,2022,Reasoning,Analogy,Hard,Choose the word that best completes the analogy.,4,3
593,RRB NTPC,2023,Reasoning,Syllogism,Easy,"Based on the two statements, find the valid conclusion.",3,1
594,RRB NTPC,2023,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,3,2
595,SSC CHSL,2024,Reasoning,Syllogism,Easy,"Based on the two statements, find the valid conclusion.",2,1
596,SSC CGL,2021,General Awareness,Current Affairs,Easy,Who was recently appointed to the given post?,5,1
597,SSC CHSL,2021,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,5,2
598,SSC CHSL,2024,Reasoning,Coding Decoding,Medium,Find the next term using a coding pattern.,2,2
599,RRB NTPC,2025,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,1,1
600,RRB NTPC,2022,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,4,1
601,SSC CGL,2022,General Awareness,Geography,Hard,Which river is the longest in India?,4,3
602,SSC CGL,2022,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,4,3
603,RRB NTPC,2024,Quantitative Aptitude,Data Interpretation,Medium,Find the ratio of values shown in the given pie chart.,2,2
604,SSC CHSL,2024,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,2,2
605,IBPS PO,2023,Reasoning,Syllogism,Hard,Determine whether the given statements follow logically.,3,3
606,SSC CHSL,2024,Quantitative Aptitude,Algebra,Easy,Solve the given algebraic equation for x.,2,1
607,SSC CGL,2021,General Awareness,History,Medium,Identify the event associated with the given year.,5,2
608,IBPS PO,2021,Quantitative Aptitude,Geometry,Medium,Find the circumference of a circle with radius 400 cm.,5,2
609,SSC CGL,2024,Reasoning,Puzzle,Hard,Solve the seating arrangement puzzle based on given conditions.,2,3
610,SSC CGL,2021,Reasoning,Blood Relation,Easy,A is the son of B. B is the daughter of C. How is A related to C?,5,1
611,SSC CHSL,2022,Reasoning,Syllogism,Medium,"Based on the two statements, find the valid conclusion.",4,2
612,IBPS PO,2022,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,4,2
613,SSC CHSL,2022,Reasoning,Blood Relation,Hard,A is the son of B. B is the daughter of C. How is A related to C?,4,3
614,SSC CGL,2021,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,5,1
615,IBPS PO,2021,Quantitative Aptitude,Profit and Loss,Medium,Find the selling price if cost price is 300 and profit is 40%.,5,2
616,RRB NTPC,2021,Reasoning,Series,Easy,Find the odd one out from the given series.,5,1
617,SSC CGL,2025,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,1,3
618,IBPS PO,2021,Reasoning,Blood Relation,Medium,Find the relationship between two persons based on the given statements.,5,2
619,SSC CGL,2022,General Awareness,Geography,Easy,Which state has the highest geographical area?,4,1
620,RRB NTPC,2025,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,1,1
621,SSC CGL,2021,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,5,1
622,IBPS PO,2022,Quantitative Aptitude,Data Interpretation,Hard,Analyse the bar graph and find the percentage change.,4,3
623,SSC CGL,2024,Quantitative Aptitude,Algebra,Medium,Find the roots of the equation x^2 - 300x + 24 = 0.,2,2
624,IBPS PO,2024,Quantitative Aptitude,Geometry,Medium,Find the area of a triangle with base 750 cm and height 24 cm.,2,2
625,RRB NTPC,2021,Quantitative Aptitude,Algebra,Easy,Simplify the given quadratic expression.,5,1
626,IBPS PO,2024,Reasoning,Analogy,Hard,Choose the word that best completes the analogy.,2,3
627,RRB NTPC,2023,General Awareness,Current Affairs,Easy,Which event is currently in the news?,3,1
628,SSC CHSL,2022,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,4,2
629,RRB NTPC,2023,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,3,2
630,IBPS PO,2023,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,3,3
631,SSC CHSL,2024,Quantitative Aptitude,Profit and Loss,Hard,An article bought for 150 is sold for 18. Find the profit or loss percentage.,2,3
632,IBPS PO,2024,English,Reading Comprehension,Medium,Read the passage and answer the question.,2,2
633,IBPS PO,2024,Quantitative Aptitude,Time and Work,Hard,A can complete a work in 250 days and B in 18 days. Find the time taken together.,2,3
634,SSC CGL,2024,Quantitative Aptitude,Simple Interest,Hard,Find the principal amount given simple interest of 150 at 15% rate.,2,3
635,IBPS PO,2021,Quantitative Aptitude,Percentage,Hard,A student scored 5% marks in an exam. Find the marks obtained out of 100.,5,3
636,SSC CHSL,2024,Reasoning,Series,Easy,Find the odd one out from the given series.,2,1
637,SSC CGL,2022,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,4,1
638,SSC CGL,2025,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 750 at 50% rate.,1,2
639,SSC CHSL,2023,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,3,2
640,SSC CGL,2023,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,3,2
641,IBPS PO,2022,Quantitative Aptitude,Simple Interest,Hard,Find the simple interest on 250 at 20% per annum for 12 years.,4,3
642,SSC CGL,2023,English,Grammar,Easy,Fill in the blank with the correct form of the verb.,3,1
643,SSC CGL,2025,Quantitative Aptitude,Data Interpretation,Hard,Find the average from the given data table.,1,3
644,SSC CGL,2023,General Awareness,Current Affairs,Easy,Who was recently appointed to the given post?,3,1
645,SSC CGL,2021,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,5,2
646,IBPS PO,2024,General Awareness,History,Easy,Who founded the Maurya Empire?,2,1
647,SSC CGL,2025,Reasoning,Puzzle,Medium,Solve the seating arrangement puzzle based on given conditions.,1,2
648,SSC CHSL,2024,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,2,1
649,RRB NTPC,2021,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,5,1
650,SSC CHSL,2022,Quantitative Aptitude,Data Interpretation,Medium,Find the average from the given data table.,4,2
651,SSC CGL,2021,Reasoning,Puzzle,Medium,Solve the seating arrangement puzzle based on given conditions.,5,2
652,IBPS PO,2022,Reasoning,Coding Decoding,Medium,Find the next term using a coding pattern.,4,2
653,RRB NTPC,2023,Reasoning,Direction Sense,Easy,A person walks 300 km north and then 10 km east. Find the shortest distance to start.,3,1
654,RRB NTPC,2023,Reasoning,Blood Relation,Easy,A is the son of B. B is the daughter of C. How is A related to C?,3,1
655,SSC CHSL,2022,Reasoning,Coding Decoding,Hard,"If CAT is coded as DBU, how is DOG coded?",4,3
656,SSC CGL,2024,Quantitative Aptitude,Profit and Loss,Hard,A shopkeeper marks an item 5% above cost price. Find the marked price.,2,3
657,RRB NTPC,2023,Quantitative Aptitude,Profit and Loss,Hard,A shopkeeper marks an item 5% above cost price. Find the marked price.,3,3
658,SSC CGL,2021,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,5,1
659,IBPS PO,2024,Quantitative Aptitude,Algebra,Medium,Solve the given algebraic equation for x.,2,2
660,RRB NTPC,2024,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,2,1
661,IBPS PO,2021,General Awareness,Science,Hard,Which gas is essential for respiration?,5,3
662,SSC CGL,2021,General Awareness,Static GK,Medium,Identify the national symbol described in the question.,5,2
663,SSC CHSL,2025,Reasoning,Syllogism,Hard,Determine whether the given statements follow logically.,1,3
664,IBPS PO,2021,Quantitative Aptitude,Algebra,Medium,"If x + y = 150 and x - y = 36, find the value of x.",5,2
665,SSC CGL,2021,English,Grammar,Medium,Identify the error in the sentence.,5,2
666,SSC CGL,2023,Reasoning,Series,Hard,Find the missing number in the series.,3,3
667,SSC CGL,2023,Reasoning,Series,Hard,Find the missing number in the series.,3,3
668,IBPS PO,2022,Reasoning,Blood Relation,Easy,Find the relationship between two persons based on the given statements.,4,1
669,RRB NTPC,2024,Quantitative Aptitude,Data Interpretation,Medium,Analyse the bar graph and find the percentage change.,2,2
670,SSC CHSL,2025,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,1,1
671,IBPS PO,2021,General Awareness,Static GK,Hard,Identify the national symbol described in the question.,5,3
672,RRB NTPC,2025,Quantitative Aptitude,Percentage,Hard,A student scored 40% marks in an exam. Find the marks obtained out of 100.,1,3
673,SSC CHSL,2024,Quantitative Aptitude,Algebra,Easy,Find the roots of the equation x^2 - 600x + 18 = 0.,2,1
674,SSC CHSL,2021,General Awareness,Science,Medium,Which gas is essential for respiration?,5,2
675,RRB NTPC,2024,General Awareness,Current Affairs,Medium,Who was recently appointed to the given post?,2,2
676,IBPS PO,2025,Quantitative Aptitude,Time and Work,Hard,Find the efficiency ratio of two workers given their individual work rates.,1,3
677,SSC CHSL,2021,General Awareness,Indian Polity,Medium,Which article of the Constitution deals with the given provision?,5,2
678,IBPS PO,2024,Reasoning,Series,Medium,Find the next term in the given number series.,2,2
679,IBPS PO,2024,Quantitative Aptitude,Algebra,Medium,Find the roots of the equation x^2 - 200x + 24 = 0.,2,2
680,SSC CGL,2023,Quantitative Aptitude,Profit and Loss,Easy,A shopkeeper marks an item 12% above cost price. Find the marked price.,3,1
681,SSC CHSL,2021,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,5,2
682,SSC CHSL,2021,Reasoning,Series,Easy,Find the next term in the given number series.,5,1
683,RRB NTPC,2023,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,3,3
684,SSC CGL,2024,Reasoning,Coding Decoding,Hard,Decode the given word using the same logic as the example.,2,3
685,RRB NTPC,2021,Quantitative Aptitude,Geometry,Medium,Find the circumference of a circle with radius 150 cm.,5,2
686,SSC CHSL,2021,General Awareness,Geography,Easy,Which state has the highest geographical area?,5,1
687,SSC CHSL,2022,General Awareness,Science,Medium,Which gas is essential for respiration?,4,2
688,RRB NTPC,2022,General Awareness,Science,Hard,Which gas is essential for respiration?,4,3
689,SSC CHSL,2021,Reasoning,Blood Relation,Easy,A is the son of B. B is the daughter of C. How is A related to C?,5,1
690,RRB NTPC,2022,Quantitative Aptitude,Algebra,Easy,Find the roots of the equation x^2 - 600x + 20 = 0.,4,1
691,IBPS PO,2023,General Awareness,Science,Hard,Identify the SI unit of the given physical quantity.,3,3
692,IBPS PO,2024,Reasoning,Analogy,Easy,Choose the word that best completes the analogy.,2,1
693,SSC CHSL,2024,Reasoning,Series,Hard,Find the odd one out from the given series.,2,3
694,RRB NTPC,2021,Reasoning,Direction Sense,Easy,A person walks 400 km north and then 12 km east. Find the shortest distance to start.,5,1
695,SSC CGL,2022,General Awareness,Indian Polity,Medium,Which article of the Constitution deals with the given provision?,4,2
696,SSC CGL,2025,General Awareness,Geography,Medium,Which river is the longest in India?,1,2
697,IBPS PO,2023,Quantitative Aptitude,Simple Interest,Hard,Find the simple interest on 100 at 40% per annum for 8 years.,3,3
698,IBPS PO,2023,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,3,1
699,SSC CHSL,2023,General Awareness,Science,Medium,Identify the SI unit of the given physical quantity.,3,2
700,IBPS PO,2024,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,2,1
701,RRB NTPC,2023,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,3,3
702,IBPS PO,2022,English,Reading Comprehension,Medium,Read the passage and answer the question.,4,2
703,SSC CHSL,2023,English,Vocabulary,Easy,Choose the correct meaning of the word.,3,1
704,SSC CHSL,2025,Quantitative Aptitude,Time and Work,Medium,A can complete a work in 100 days and B in 36 days. Find the time taken together.,1,2
705,RRB NTPC,2021,Quantitative Aptitude,Algebra,Easy,Find the roots of the equation x^2 - 100x + 30 = 0.,5,1
706,SSC CGL,2024,General Awareness,Science,Medium,Identify the SI unit of the given physical quantity.,2,2
707,RRB NTPC,2021,English,Vocabulary,Hard,Choose the synonym of the given word.,5,3
708,SSC CHSL,2021,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,5,2
709,IBPS PO,2025,Quantitative Aptitude,Simple Interest,Hard,Find the principal amount given simple interest of 500 at 25% rate.,1,3
710,RRB NTPC,2022,General Awareness,History,Hard,Identify the event associated with the given year.,4,3
711,IBPS PO,2024,Reasoning,Series,Easy,Find the odd one out from the given series.,2,1
712,SSC CGL,2022,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,4,2
713,SSC CHSL,2025,General Awareness,Current Affairs,Hard,Which event is currently in the news?,1,3
714,SSC CGL,2024,English,Vocabulary,Easy,Choose the correct meaning of the word.,2,1
715,RRB NTPC,2024,General Awareness,History,Easy,Identify the event associated with the given year.,2,1
716,SSC CHSL,2021,General Awareness,Current Affairs,Hard,Which event is currently in the news?,5,3
717,IBPS PO,2024,English,Reading Comprehension,Easy,Read the passage and answer the question.,2,1
718,SSC CGL,2024,General Awareness,Current Affairs,Easy,Who was recently appointed to the given post?,2,1
719,SSC CGL,2023,Reasoning,Puzzle,Medium,Solve the seating arrangement puzzle based on given conditions.,3,2
720,SSC CHSL,2021,General Awareness,Science,Medium,Which gas is essential for respiration?,5,2
721,SSC CHSL,2024,Reasoning,Puzzle,Easy,Arrange the given items based on the clues provided.,2,1
722,RRB NTPC,2021,Reasoning,Puzzle,Easy,Solve the seating arrangement puzzle based on given conditions.,5,1
723,RRB NTPC,2022,Reasoning,Series,Medium,Find the missing number in the series.,4,2
724,SSC CGL,2021,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,5,2
725,RRB NTPC,2025,English,Grammar,Hard,Identify the error in the sentence.,1,3
726,SSC CHSL,2025,General Awareness,Current Affairs,Medium,Which event is currently in the news?,1,2
727,RRB NTPC,2022,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,4,1
728,RRB NTPC,2022,Reasoning,Puzzle,Hard,Arrange the given items based on the clues provided.,4,3
729,SSC CHSL,2023,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,3,3
730,IBPS PO,2022,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 100 at 5% rate.,4,2
731,RRB NTPC,2024,General Awareness,History,Medium,Identify the event associated with the given year.,2,2
732,SSC CHSL,2024,Reasoning,Coding Decoding,Medium,"If CAT is coded as DBU, how is DOG coded?",2,2
733,SSC CGL,2022,Quantitative Aptitude,Data Interpretation,Easy,Find the average from the given data table.,4,1
734,SSC CHSL,2021,Quantitative Aptitude,Data Interpretation,Hard,Find the ratio of values shown in the given pie chart.,5,3
735,RRB NTPC,2025,Reasoning,Puzzle,Medium,Solve the seating arrangement puzzle based on given conditions.,1,2
736,SSC CHSL,2025,English,Vocabulary,Hard,Choose the antonym of the given word.,1,3
737,SSC CHSL,2022,Reasoning,Series,Medium,Find the missing number in the series.,4,2
738,IBPS PO,2022,General Awareness,History,Medium,Identify the event associated with the given year.,4,2
739,SSC CGL,2022,Reasoning,Blood Relation,Hard,Find the relationship between two persons based on the given statements.,4,3
740,RRB NTPC,2025,Quantitative Aptitude,Geometry,Medium,Find the perimeter of a rectangle with length 100 cm and breadth 10 cm.,1,2
741,RRB NTPC,2024,General Awareness,Science,Hard,Which gas is essential for respiration?,2,3
742,SSC CGL,2022,Reasoning,Puzzle,Easy,Solve the seating arrangement puzzle based on given conditions.,4,1
743,SSC CHSL,2022,Quantitative Aptitude,Time and Work,Hard,A pipe fills a tank in 250 hours. Find the time to fill 10% of the tank.,4,3
744,RRB NTPC,2024,Quantitative Aptitude,Simple Interest,Easy,Find the principal amount given simple interest of 500 at 10% rate.,2,1
745,RRB NTPC,2023,Quantitative Aptitude,Percentage,Medium,A number is increased by 5%. Find the new value.,3,2
746,RRB NTPC,2024,General Awareness,Current Affairs,Hard,Who was recently appointed to the given post?,2,3
747,SSC CGL,2025,English,Vocabulary,Hard,Choose the antonym of the given word.,1,3
748,RRB NTPC,2023,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,3,3
749,SSC CGL,2023,General Awareness,Current Affairs,Medium,Which event is currently in the news?,3,2
750,RRB NTPC,2021,Reasoning,Series,Medium,Find the missing number in the series.,5,2
751,IBPS PO,2023,Reasoning,Analogy,Medium,Book is related to Reading. Pen is related to?,3,2
752,IBPS PO,2021,English,Reading Comprehension,Medium,Read the passage and answer the question.,5,2
753,SSC CHSL,2022,General Awareness,Science,Easy,Identify the SI unit of the given physical quantity.,4,1
754,IBPS PO,2022,Quantitative Aptitude,Data Interpretation,Medium,Find the ratio of values shown in the given pie chart.,4,2
755,SSC CHSL,2022,Quantitative Aptitude,Algebra,Easy,Find the roots of the equation x^2 - 150x + 36 = 0.,4,1
756,IBPS PO,2023,English,Sentence Improvement,Medium,Improve the underlined part of the given sentence.,3,2
757,RRB NTPC,2025,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,1,1
758,SSC CHSL,2023,Reasoning,Blood Relation,Medium,Find the relationship between two persons based on the given statements.,3,2
759,RRB NTPC,2021,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,5,3
760,SSC CHSL,2022,Reasoning,Syllogism,Hard,"Based on the two statements, find the valid conclusion.",4,3
761,SSC CGL,2023,Quantitative Aptitude,Time and Work,Medium,A pipe fills a tank in 750 hours. Find the time to fill 15% of the tank.,3,2
762,IBPS PO,2023,Quantitative Aptitude,Profit and Loss,Medium,Find the selling price if cost price is 400 and profit is 12%.,3,2
763,SSC CHSL,2025,Quantitative Aptitude,Geometry,Medium,Find the perimeter of a rectangle with length 200 cm and breadth 36 cm.,1,2
764,SSC CHSL,2025,English,Grammar,Medium,Identify the error in the sentence.,1,2
765,SSC CHSL,2024,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,2,1
766,SSC CHSL,2022,English,Grammar,Medium,Fill in the blank with the correct form of the verb.,4,2
767,RRB NTPC,2023,English,Grammar,Hard,Choose the grammatically correct sentence.,3,3
768,SSC CHSL,2023,English,Vocabulary,Easy,Choose the synonym of the given word.,3,1
769,RRB NTPC,2024,Quantitative Aptitude,Geometry,Hard,Find the type of triangle having all angles equal.,2,3
770,IBPS PO,2021,General Awareness,Indian Polity,Medium,Who is known as the chief architect of the Indian Constitution?,5,2
771,SSC CHSL,2024,English,Sentence Improvement,Easy,Improve the underlined part of the given sentence.,2,1
772,IBPS PO,2022,General Awareness,Science,Easy,Which gas is essential for respiration?,4,1
773,IBPS PO,2022,General Awareness,Science,Easy,Which gas is essential for respiration?,4,1
774,SSC CGL,2022,English,Sentence Improvement,Hard,Improve the underlined part of the given sentence.,4,3
775,RRB NTPC,2021,Quantitative Aptitude,Time and Work,Hard,A pipe fills a tank in 200 hours. Find the time to fill 20% of the tank.,5,3
776,IBPS PO,2022,English,Grammar,Easy,Identify the error in the sentence.,4,1
777,SSC CHSL,2023,Reasoning,Analogy,Easy,Choose the word that best completes the analogy.,3,1
778,RRB NTPC,2025,English,Reading Comprehension,Easy,Identify the main idea of the given passage.,1,1
779,IBPS PO,2024,General Awareness,Science,Medium,Which gas is essential for respiration?,2,2
780,SSC CHSL,2023,English,Reading Comprehension,Easy,Identify the main idea of the given passage.,3,1
781,SSC CHSL,2023,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,3,3
782,SSC CGL,2023,Reasoning,Puzzle,Hard,Arrange the given items based on the clues provided.,3,3
783,SSC CHSL,2023,English,Reading Comprehension,Hard,Identify the main idea of the given passage.,3,3
784,SSC CGL,2025,General Awareness,Indian Polity,Hard,Which article of the Constitution deals with the given provision?,1,3
785,SSC CGL,2023,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,3,3
786,SSC CHSL,2025,Quantitative Aptitude,Algebra,Medium,Solve the given algebraic equation for x.,1,2
787,RRB NTPC,2023,General Awareness,History,Medium,Who founded the Maurya Empire?,3,2
788,SSC CHSL,2023,Reasoning,Syllogism,Medium,Determine whether the given statements follow logically.,3,2
789,SSC CGL,2025,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,1,3
790,SSC CGL,2022,English,Cloze Test,Medium,Fill in the blanks to complete the passage meaningfully.,4,2
791,SSC CGL,2021,English,Cloze Test,Hard,Fill in the blanks to complete the passage meaningfully.,5,3
792,RRB NTPC,2022,Quantitative Aptitude,Data Interpretation,Easy,Analyse the bar graph and find the percentage change.,4,1
793,RRB NTPC,2025,English,Reading Comprehension,Easy,Read the passage and answer the question.,1,1
794,IBPS PO,2025,Reasoning,Series,Medium,Find the odd one out from the given series.,1,2
795,RRB NTPC,2024,Reasoning,Direction Sense,Easy,A person walks 750 km north and then 20 km east. Find the shortest distance to start.,2,1
796,SSC CGL,2022,Quantitative Aptitude,Geometry,Hard,Find the circumference of a circle with radius 250 cm.,4,3
797,RRB NTPC,2023,Quantitative Aptitude,Percentage,Medium,A number is increased by 30%. Find the new value.,3,2
798,SSC CGL,2024,English,Reading Comprehension,Easy,Identify the main idea of the given passage.,2,1
799,RRB NTPC,2024,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,2,1
800,IBPS PO,2022,Reasoning,Puzzle,Easy,Arrange the given items based on the clues provided.,4,1
801,SSC CHSL,2024,General Awareness,Static GK,Easy,Identify the national symbol described in the question.,2,1
802,SSC CHSL,2021,English,Reading Comprehension,Medium,Read the passage and answer the question.,5,2
803,RRB NTPC,2023,Quantitative Aptitude,Data Interpretation,Medium,Analyse the bar graph and find the percentage change.,3,2
804,RRB NTPC,2023,Quantitative Aptitude,Profit and Loss,Medium,An article bought for 200 is sold for 8. Find the profit or loss percentage.,3,2
805,RRB NTPC,2023,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,3,1
806,RRB NTPC,2021,English,Reading Comprehension,Easy,Identify the main idea of the given passage.,5,1
807,SSC CGL,2022,English,Vocabulary,Medium,Choose the correct meaning of the word.,4,2
808,SSC CGL,2025,Reasoning,Series,Easy,Find the next term in the given number series.,1,1
809,RRB NTPC,2025,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,1,1
810,IBPS PO,2024,Quantitative Aptitude,Data Interpretation,Hard,Analyse the bar graph and find the percentage change.,2,3
811,RRB NTPC,2022,English,Vocabulary,Easy,Choose the correct meaning of the word.,4,1
812,SSC CGL,2025,Reasoning,Syllogism,Hard,Determine whether the given statements follow logically.,1,3
813,SSC CGL,2021,Reasoning,Analogy,Easy,Choose the word that best completes the analogy.,5,1
814,IBPS PO,2022,Quantitative Aptitude,Simple Interest,Medium,Find the simple interest on 500 at 5% per annum for 24 years.,4,2
815,SSC CGL,2023,Quantitative Aptitude,Algebra,Medium,Simplify the given quadratic expression.,3,2
816,SSC CGL,2024,Quantitative Aptitude,Simple Interest,Medium,Find the principal amount given simple interest of 150 at 10% rate.,2,2
817,SSC CHSL,2025,English,Cloze Test,Easy,Fill in the blanks to complete the passage meaningfully.,1,1
818,SSC CHSL,2023,General Awareness,Indian Polity,Easy,Which article of the Constitution deals with the given provision?,3,1
819,SSC CHSL,2025,Reasoning,Syllogism,Medium,Determine whether the given statements follow logically.,1,2
820,RRB NTPC,2023,Reasoning,Coding Decoding,Easy,Decode the given word using the same logic as the example.,3,1
821,IBPS PO,2022,General Awareness,History,Hard,Identify the event associated with the given year.,4,3
822,IBPS PO,2022,English,Grammar,Medium,Identify the error in the sentence.,4,2
823,RRB NTPC,2021,Quantitative Aptitude,Profit and Loss,Medium,An article bought for 100 is sold for 24. Find the profit or loss percentage.,5,2
824,SSC CHSL,2025,English,Grammar,Easy,Choose the grammatically correct sentence.,1,1
825,SSC CGL,2022,General Awareness,History,Easy,Identify the event associated with the given year.,4,1
826,IBPS PO,2023,English,Grammar,Easy,Fill in the blank with the correct form of the verb.,3,1
827,SSC CHSL,2024,English,Grammar,Medium,Identify the error in the sentence.,2,2
